window_idx,jd,time_sec,alt_deg,az_deg,range_km,range_rate_m_s,tau_s,tau_dot_s_per_s,satellite_name,satellite_index
0,2459861.3026997834,686.143009364605,-51.037666785829835,227.41628457021596,10624.592409734578,-4180.168903171201,1.1298885360192773e-07,6.732704734316691e-11,,3454
0,2459861.302811635,695.8070084452629,-50.728658879171135,227.35838220428698,10584.058546927206,-4208.407671896741,1.1363791826263507e-07,6.699888491875657e-11,,3454
0,2459861.3029234866,705.4709672927856,-50.41948982526395,227.3011580270084,10543.252484441451,-4236.5363988344325,1.1428380524409058e-07,6.666997941649113e-11,,3454
0,2459861.3030353384,715.1349663734436,-50.110154671065004,227.24460068323702,10502.174948519838,-4264.554553646711,1.1492651280662196e-07,6.634034099777572e-11,,3454
0,2459861.3031471903,724.7989654541016,-49.80065225624598,227.18869991198932,10460.827181869736,-4292.46125741431,1.1556603123291665e-07,6.600998664820834e-11,,3454
0,2459861.303259042,734.4629645347595,-49.490980064028356,227.13344557810814,10419.210265229014,-4320.255751146004,1.1620235370718701e-07,6.567893189551427e-11,,3454
0,2459861.3033708935,744.1269233822823,-49.181136796896915,227.07882812597833,10377.325461588596,-4347.937163532712,1.1683547087869431e-07,6.534719179354437e-11,,3454
0,2459861.3034827453,753.7909224629402,-48.87111721464402,227.02483766121478,10335.173517546451,-4375.5049716230715,1.1746538146753677e-07,6.501477970056492e-11,,3454
0,2459861.303594597,763.4549215435982,-48.56091987249975,226.97146530402637,10292.755709542238,-4402.958309447626,1.1809207642120519e-07,6.468171151304258e-11,,3454
0,2459861.3037064485,773.1188803911209,-48.25054325301381,226.9187024851413,10250.073325684132,-4430.296315187705,1.1871554687979697e-07,6.434800409986846e-11,,3454
0,2459861.3038183004,782.7828794717789,-47.93998188455636,226.86654028853056,10207.127127655345,-4457.518471095362,1.19335791923771e-07,6.401367112848082e-11,,3454
0,2459861.303930152,792.4468785524368,-47.629234092524584,226.81497075996714,10163.918416870769,-4484.623920629208,1.1995280299766734e-07,6.367872900665479e-11,,3454
0,2459861.3040420036,802.1108373999596,-47.31829812450002,226.76398622800787,10120.44850628189,-4511.6118112872355,1.205665717324195e-07,6.334319443712652e-11,,3454
0,2459861.3041538554,811.7748364806175,-47.00716826135363,226.71357866983146,10076.718172510487,-4538.481630185794,1.211770975812733e-07,6.300708171884119e-11,,3454
0,2459861.3042657073,821.4388355612755,-46.6958425821741,226.66374097668705,10032.728741678493,-4565.232529876404,1.2178437249203114e-07,6.267040709285897e-11,,3454
0,2459861.3043775586,831.1027944087982,-46.38431908236105,226.6144662987631,9988.481551314546,-4591.863666861842,1.2238838858646264e-07,6.233318970075632e-11,,3454
0,2459861.3044894105,840.7667934894562,-46.07259177694709,226.56574743315582,9943.977392844405,-4618.374532713846,1.2298914574651863e-07,6.199544350951263e-11,,3454
0,2459861.3046012623,850.4307925701141,-45.76065847992548,226.51757804776412,9899.217616837985,-4644.7642887287075,1.2358663640462447e-07,6.165718456104849e-11,,3454
0,2459861.3047131137,860.0947514176369,-45.44851691491834,226.46995204898676,9854.203585144836,-4671.032100040815,1.2418085322930396e-07,6.131843253762694e-11,,3454
0,2459861.3048249655,869.7587504982948,-45.13616081028985,226.42286299097543,9808.936103872833,-4697.177462143707,1.2477179647529486e-07,6.097920139663623e-11,,3454
0,2459861.3049368174,879.4227495789528,-44.82358769361654,226.37630525934603,9763.416547793147,-4723.199544644216,1.2535945912177666e-07,6.063950984432502e-11,,3454
0,2459861.3050486688,889.0867084264755,-44.51079499451819,226.33027346081792,9717.646302832007,-4749.097520879179,1.2594383438402736e-07,6.029937748849687e-11,,3454
0,2459861.3051605206,898.7507075071335,-44.19777613111216,226.2847618529518,9671.626189673312,-4774.870889685291,1.265249229392765e-07,5.995881795647096e-11,,3454
0,2459861.3052723724,908.4147065877914,-43.8845283204113,226.23976548897215,9625.35760705565,-4800.518828486791,1.2710271830724472e-07,5.961785130615788e-11,,3454
0,2459861.305384224,918.0786654353142,-43.571048672886675,226.1952796284911,9578.841964752244,-4826.040518239373,1.2767721427481653e-07,5.927649677431774e-11,,3454
0,2459861.3054960757,927.7426645159721,-43.25733026976579,226.15129918709977,9532.08009793515,-4851.435460492037,1.2824841192928719e-07,5.893476894500917e-11,,3454
0,2459861.3056079275,937.4066635966301,-42.94336999019641,226.10781984341105,9485.073429092112,-4876.702839899925,1.2881630538062323e-07,5.859269016831067e-11,,3454
0,2459861.305719779,947.0706224441528,-42.629164597084525,226.0648374701412,9437.823391631333,-4901.8418443828705,1.2938088899352894e-07,5.825027901033825e-11,,3454
0,2459861.3058316307,956.7346215248108,-42.314706804676376,226.02234760300195,9390.330835144448,-4926.851977453742,1.2994216430885696e-07,5.790755101291813e-11,,3454
0,2459861.3059434826,966.3986206054688,-41.99999312341645,225.9803465109361,9342.59720567003,-4951.732430273027,1.3050012603303293e-07,5.756452886873877e-11,,3454
0,2459861.306055334,976.0625794529915,-41.68501993654011,225.93883064694668,9294.623960058923,-4976.482397029409,1.3105476911479402e-07,5.7221232420724866e-11,,3454
0,2459861.306167186,985.7265785336494,-41.36977955733574,225.89779613578824,9246.411962276774,-5001.101382354798,1.3160609559204206e-07,5.6877678812460965e-11,,3454
0,2459861.3062790376,995.3905776143074,-41.05426809269768,225.8572398082743,9197.962681736215,-5025.588583059551,1.3215410078630119e-07,5.65338894543054e-11,,3454
0,2459861.306390889,1005.0545364618301,-40.73848150990858,225.8171586713024,9149.27759856159,-5049.943198746769,1.3269878024276754e-07,5.618988612437109e-11,,3454
0,2459861.306502741,1014.7185355424881,-40.42241168292171,225.77754941394883,9100.357591073946,-5074.164734184102,1.3324013652745786e-07,5.584568724766115e-11,,3454
0,2459861.3066145927,1024.382534623146,-40.10605427568569,225.73840940659034,9051.204151909067,-5098.252390827751,1.3377816558320777e-07,5.5501315776588e-11,,3454
