window_idx,satellite_name,satellite_index,peak_alt_deg,range_min_km,range_max_km,peak_abs_jy,mean_abs_jy,emission_type
0,,1357,83.09101539318077,559.1988812346054,13270.527967010354,1.9280165414939459e+18,5146978158334065.0,literature_parameterized_uemr_template_not_proprietary_waveform
0,,1358,83.09101539318077,559.1988812346054,13270.527967010354,1.9280165414939459e+18,5146978158334065.0,literature_parameterized_uemr_template_not_proprietary_waveform
0,,1087,82.6722778423031,559.8878360353077,13267.883050535222,1.3463846541398994e+18,3290389766101010.0,literature_parameterized_uemr_template_not_proprietary_waveform
0,,1085,82.67144709660666,560.0572298507694,13267.712587076772,1.3462725045198505e+18,3290884679960397.0,literature_parameterized_uemr_template_not_proprietary_waveform
0,,1090,82.67023515410862,559.8925791434061,13267.869325785045,1.3464012423353956e+18,3290494701426401.5,literature_parameterized_uemr_template_not_proprietary_waveform
0,,1088,82.66495387604641,559.9026740275409,13267.846777658648,1.3464070249715502e+18,3290879557147037.5,literature_parameterized_uemr_template_not_proprietary_waveform
0,,1089,82.66495387604641,559.9026740275409,13267.846777658648,1.3464070249715502e+18,3290879557147037.5,literature_parameterized_uemr_template_not_proprietary_waveform
0,,1086,82.66025596739058,559.996031926052,13267.761566756388,1.3463158036375624e+18,3291165419909735.0,literature_parameterized_uemr_template_not_proprietary_waveform
0,,2956,81.96853952904912,560.6458880388616,13256.510311431664,1.6271584214277594e+18,4650579763290798.0,literature_parameterized_uemr_template_not_proprietary_waveform
0,,2957,81.96853952904912,560.6458880388616,13256.510311431664,1.6271584214277594e+18,4650579763290798.0,literature_parameterized_uemr_template_not_proprietary_waveform
0,,2958,81.95628687081658,560.532894304242,13256.745153844096,1.6278077839658898e+18,4652537975894831.0,literature_parameterized_uemr_template_not_proprietary_waveform
0,,2959,81.95282255377975,560.7837813970332,13256.448226203127,1.6275708851904648e+18,4651625767756621.0,literature_parameterized_uemr_template_not_proprietary_waveform
0,,2960,81.94007491840514,560.8007285519079,13256.461966052913,1.6272937724852173e+18,4650920158532172.0,literature_parameterized_uemr_template_not_proprietary_waveform
0,,2961,81.9386188622618,560.8059132112928,13256.452641619591,1.627191801608493e+18,4650641144345698.0,literature_parameterized_uemr_template_not_proprietary_waveform
0,,2962,81.9386188622618,560.8059132112928,13256.452641619591,1.627191801608493e+18,4650641144345698.0,literature_parameterized_uemr_template_not_proprietary_waveform
