window_idx,i,j,satellite_i,satellite_j,peak_coherence,peak_delay_ns,mean_coherence,p95_coherence
0,2,30,,,1.6705285373675498e-18,3312.0,7.439696476335671e-20,2.266937127013507e-19
0,2,31,,,1.6732289260203306e-18,3312.0,7.450043428092251e-20,2.2707457704195844e-19
0,2,32,,,1.6740927892717135e-18,3312.0,7.454696693145163e-20,2.272099538009721e-19
0,2,33,,,1.6753759079950468e-18,3312.0,7.460120301516434e-20,2.273935326747391e-19
0,2,34,,,1.6753759079950468e-18,3312.0,7.460120301516434e-20,2.273935326747391e-19
0,2,35,,,0.9949900069272812,-4005.333333333333,0.9292420688205006,0.9536680536850307
0,2,36,,,0.9949896466618022,-4005.333333333333,0.9292418818081049,0.9536646340763953
0,2,37,,,0.994979916135389,-4005.333333333333,0.9292205193462406,0.9536742443734311
0,2,38,,,0.9950383387605541,-4005.333333333333,0.9293704822198615,0.9535630444339736
0,2,39,,,0.9854742603636204,-4048.0,0.9239049079131373,0.933379227356721
0,2,40,,,0.9854742603636204,-4048.0,0.9239049079131373,0.933379227356721
0,2,41,,,0.9854702040565976,-4048.0,0.923900204022449,0.9333382052628139
0,2,42,,,0.9854689229743464,-4048.0,0.9238977393144485,0.9333306571130742
0,2,43,,,0.9958098702640922,-3194.6666666666665,0.9671823147358817,0.9770475502195428
0,2,44,,,0.9958165140745504,-3194.6666666666665,0.9672041145128437,0.9770578161567605
0,2,45,,,0.9958328433872987,-3194.6666666666665,0.9672480676413343,0.9770872881195958
0,2,46,,,0.9958601845311806,-3194.6666666666665,0.9673158435439636,0.9771388094635458
0,2,47,,,0.9958601845311806,-3194.6666666666665,0.9673158435439636,0.9771388094635458
0,2,48,,,0.9958335070405415,-3194.6666666666665,0.9672507705078157,0.9770908448720091
0,2,49,,,0.9841935208872703,-3200.0,0.9409245049769304,0.9588633499049719
0,3,4,,,0.9954319500080878,3306.6666666666665,0.8992506485707382,0.92533085419461
0,3,5,,,0.9999999931290201,-3605.333333333333,0.999999961911187,0.999999976622453
